,date,open,high,low,close,volume,SMA_20,EMA_50,RSI,stoch_k,stoch_d,BB_upper,BB_middle,BB_lower,ATR,ROC,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,rolling_mean,rolling_std,target
19,2025-01-20 01:10:00,3200.46,3209.1,3189.77,3204.9,6270.8701,3195.0395,3183.7700015311807,50.03472061478637,74.64551790434997,64.92029159657129,3234.4695256817463,3195.0395,3155.6094743182534,31.152142857142767,-0.034622474664774194,3200.47,3185.05,3170.9,3176.31,3154.08,3193.58,3169.09,3190.98,3181.7975,17.36335365072134,0.0013635370838402938
20,2025-01-20 01:15:00,3204.91,3213.15,3192.02,3199.39,4986.1332,3196.3885,3184.3825504907422,48.16304149150065,73.31002331002307,72.42593983761955,3234.3784971737714,3196.3885,3158.3985028262287,30.989999999999913,0.4199610170714986,3204.9,3200.47,3185.05,3170.9,3176.31,3154.08,3193.58,3169.09,3185.585,17.499618771358012,-0.004850924707522353
21,2025-01-20 01:20:00,3199.39,3199.6,3175.09,3196.43,6322.0518,3195.3045,3184.8549994911054,46.131062569418674,69.47681947681919,72.47745356373075,3231.896321044715,3195.3045,3158.7126789552854,31.29999999999989,0.17079392537715116,3199.39,3204.9,3200.47,3185.05,3170.9,3176.31,3154.08,3193.58,3185.94125,17.713333506953976,-0.003131618712125639
22,2025-01-20 01:25:00,3196.48,3203.92,3185.59,3195.53,4273.129,3193.4055,3185.2736269620427,50.89609394945118,74.96092084695194,72.5825878779314,3225.2879587805696,3193.4055,3161.52304121943,30.6099999999999,0.834308902555625,3196.43,3199.39,3204.9,3200.47,3185.05,3170.9,3176.31,3154.08,3191.1225,12.296209346205274,-0.003855385491608687
23,2025-01-20 01:30:00,3195.55,3208.5,3184.67,3207.2,6133.901,3193.4199999999996,3186.1334847282374,50.307445874024594,91.5446923404856,78.66081088808558,3225.3285720210265,3193.4199999999996,3161.5114279789727,30.312142857142753,0.4264806267574287,3195.53,3196.43,3199.39,3204.9,3200.47,3185.05,3170.9,3176.31,3194.98375,11.821162545560016,-0.0019300324270390412
24,2025-01-20 01:35:00,3207.2,3221.04,3204.55,3209.27,3959.4172,3193.1275,3187.0407990526205,56.62300683371296,84.96038844876051,83.82200054539935,3224.29721193491,3193.1275,3161.95778806509,29.42428571428562,1.7497970882159,3207.2,3195.53,3196.43,3199.39,3204.9,3200.47,3185.05,3170.9,3199.78,7.729507469059864,0.0034836582774275815
25,2025-01-20 01:40:00,3209.27,3211.07,3180.0,3183.87,5704.6702,3192.0835,3186.9164539917338,48.18650206601026,52.50447227191389,76.33651768705333,3223.011896269278,3192.0835,3161.155103730722,29.378571428571377,0.23801203283054695,3209.27,3207.2,3195.53,3196.43,3199.39,3204.9,3200.47,3185.05,3199.6324999999997,8.05515052621415,0.01322918335233525
26,2025-01-20 01:45:00,3183.87,3197.59,3181.68,3186.42,3147.7343,3191.0330000000004,3186.8969852077444,54.904069273869474,55.762841809353446,64.40923417667595,3221.1841149134875,3191.0330000000004,3160.881885086513,27.436428571428547,0.4894509445267899,3183.87,3209.27,3207.2,3195.53,3196.43,3199.39,3204.9,3200.47,3197.8762500000003,9.284330789790854,0.0129612543230333
27,2025-01-20 01:50:00,3186.43,3188.88,3173.0,3183.21,4400.4259,3189.536,3186.752397552539,46.6636638568947,51.661129568106254,53.30948121645787,3217.988707502284,3189.536,3161.0832924977162,25.589999999999982,-0.057769893722238126,3186.42,3183.87,3209.27,3207.2,3195.53,3196.43,3199.39,3204.9,3195.165,10.0736601377755,0.019869879775446853
28,2025-01-20 01:55:00,3183.27,3201.63,3181.28,3201.01,3535.6075,3189.9855,3187.3115192171454,67.54917358462353,71.17570873507007,59.53322670417659,3218.883997848413,3189.9855,3161.0870021515866,23.274285714285693,0.016872521848366597,3183.21,3186.42,3183.87,3209.27,3207.2,3195.53,3196.43,3199.39,3195.3675,10.18637570483137,0.01748510626333566
