,date,open,high,low,close,volume
0,2022-04-29,0.8432,0.8495,0.7891,0.8048,139320128.3
1,2022-04-30,0.805,0.8179,0.7351,0.7556,147364161.34
2,2022-05-01,0.7555,0.8002,0.7451,0.7895,137793227.3
3,2022-05-02,0.7894,0.7968,0.7636,0.7809,128907016.8
4,2022-05-03,0.7808,0.7994,0.7605,0.7711,96429722.5
5,2022-05-04,0.7712,0.8992,0.7677,0.8985,256649760.0
6,2022-05-05,0.8986,0.9058,0.7716,0.7884,364970629.3
7,2022-05-06,0.7884,0.7997,0.7625,0.7832,244058670.2
8,2022-05-07,0.7832,0.7858,0.7467,0.7604,126808896.0
9,2022-05-08,0.7605,0.7663,0.7254,0.7403,175139530.39
10,2022-05-09,0.7404,0.7542,0.5976,0.6019,472342566.94
11,2022-05-10,0.6025,0.701,0.5833,0.6286,436850308.6
12,2022-05-11,0.6286,0.6631,0.4727,0.5187,623456066.51
13,2022-05-12,0.5186,0.5508,0.4019,0.4733,815465798.46
14,2022-05-13,0.4733,0.6094,0.4689,0.529,458070252.8
15,2022-05-14,0.5289,0.5572,0.4888,0.5372,253441055.6
16,2022-05-15,0.5374,0.5999,0.5148,0.5981,195264575.4
17,2022-05-16,0.5982,0.6146,0.5444,0.5569,280903516.1
18,2022-05-17,0.5569,0.5999,0.5511,0.5778,178084619.6
19,2022-05-18,0.5776,0.5863,0.5026,0.5059,203077123.9
20,2022-05-19,0.5059,0.5467,0.4917,0.5334,205816006.7
21,2022-05-20,0.5334,0.545,0.5012,0.5162,174293262.6
22,2022-05-21,0.5162,0.5388,0.5086,0.5286,85487336.0
23,2022-05-22,0.5286,0.5488,0.5219,0.5416,104514258.8
24,2022-05-23,0.5416,0.5595,0.5039,0.5134,189427959.8
25,2022-05-24,0.5133,0.5255,0.4927,0.5219,170905795.6
26,2022-05-25,0.5218,0.5328,0.5071,0.5146,133554250.3
27,2022-05-26,0.5145,0.521,0.4614,0.4789,243664954.1
28,2022-05-27,0.4788,0.4839,0.4454,0.4566,268406015.6
29,2022-05-28,0.4566,0.4693,0.4481,0.4646,105935970.4
30,2022-05-29,0.4646,0.4827,0.4559,0.482,88626528.9
31,2022-05-30,0.4819,0.5777,0.4772,0.5698,259278313.4
32,2022-05-31,0.5698,0.6893,0.5678,0.6268,663619489.7
33,2022-06-01,0.6266,0.6314,0.5359,0.5516,355477399.6
34,2022-06-02,0.5517,0.5981,0.5487,0.5871,306125734.2
35,2022-06-03,0.5872,0.6055,0.539,0.56,206257910.9
36,2022-06-04,0.56,0.5718,0.5449,0.5665,108779268.9
37,2022-06-05,0.5666,0.5808,0.5538,0.5674,95277593.6
38,2022-06-06,0.5675,0.6472,0.5651,0.6091,341502376.8
39,2022-06-07,0.6091,0.645,0.5715,0.6141,338812294.7
40,2022-06-08,0.614,0.6696,0.6087,0.6408,394267374.7
41,2022-06-09,0.6407,0.6579,0.6258,0.6323,192310885.5
42,2022-06-10,0.6323,0.6361,0.57,0.5744,272263844.1
43,2022-06-11,0.5744,0.6175,0.543,0.554,300758115.7
44,2022-06-12,0.5541,0.561,0.4893,0.4904,397530507.9
45,2022-06-13,0.4904,0.4985,0.4366,0.4644,761583537.4
46,2022-06-14,0.4642,0.52,0.4369,0.4831,609069303.4
47,2022-06-15,0.4831,0.5393,0.4483,0.5348,628287744.0
48,2022-06-16,0.5347,0.5472,0.4673,0.4762,360176076.1
49,2022-06-17,0.4762,0.504,0.4717,0.4872,221261441.4
50,2022-06-18,0.4871,0.4953,0.4206,0.4549,383466178.7
51,2022-06-19,0.4548,0.49,0.4359,0.4848,304390171.7
52,2022-06-20,0.4849,0.5088,0.4613,0.4915,309797825.1
53,2022-06-21,0.4915,0.5114,0.4751,0.4813,269304587.0
54,2022-06-22,0.4813,0.4815,0.4559,0.4594,203592970.7
55,2022-06-23,0.4594,0.4831,0.4563,0.48,160787911.2
56,2022-06-24,0.48,0.5097,0.4762,0.4981,241562561.8
57,2022-06-25,0.4982,0.5078,0.4783,0.4984,142417111.7
58,2022-06-26,0.4985,0.526,0.4885,0.4899,211856675.9
59,2022-06-27,0.4899,0.5088,0.4756,0.4856,157303921.4
60,2022-06-28,0.4855,0.4975,0.4671,0.4694,163559982.8
61,2022-06-29,0.4693,0.4772,0.4588,0.4662,166130162.2
62,2022-06-30,0.4662,0.4677,0.4352,0.4599,212174584.9
63,2022-07-01,0.4599,0.475,0.4427,0.4487,182788187.1
64,2022-07-02,0.4487,0.4617,0.4408,0.4559,109165380.7
65,2022-07-03,0.4558,0.46,0.4436,0.4561,90832805.9
